key,q_sdf,ok,ntors,E_bound_sp,E_glob_sp,strain_sp,E_bound_reopt,E_glob_reopt,strain_reopt,pdbid,ligand_code,charge,Estrain_aimnet_kcal,Nrotatable,Nheavy
6SH_5LAR_A_401,0,True,8.0,97.90222478035122,89.84646846531896,8.055756315032255,95.46627861313365,77.64482169971139,17.821456913422267,5LAR,6SH,0,7.164392512908386,12,37
6SL_5KGD_A_420,0,True,1.0,35.49640566297901,35.3951080303473,0.10129763263170588,33.89749313830448,33.78987330321624,0.10761983508824358,5KGD,6SL,0,0.060814945079232005,1,15
6SW_5KHH_A_701,-1,True,2.0,-29.592224825798446,-30.364755819730497,0.772530993932051,-36.42775041943028,-39.37169650499429,2.943946085564008,5KHH,6SW,-1,1.089905622262367,1,22
6SX_5KHI_A_701,-1,True,2.0,-9.025140868912466,-9.234754130828563,0.20961326191609686,-15.243442891403042,-17.79299204751254,2.5495491561094994,5KHI,6SX,-1,0.845505261412122,1,21
6SY_5KHJ_A_701,-1,True,2.0,-127.37308873917391,-128.08124447237736,0.7081557332034549,-135.97495847999514,-137.88268416893945,1.9077256889443106,5KHJ,6SY,-1,1.269297719838205,1,20
6SZ_5KHK_A_701,-1,True,2.0,-91.61050615626289,-91.93029679977708,0.31979064351419595,-99.15411517602107,-101.59317990855129,2.439064732530227,5KHK,6SZ,-1,0.7635210771549511,1,22
6TA_5KIT_B_501,0,True,8.0,-66.8093968576316,-66.32811716052606,-0.48127969710553486,-74.49437620758928,-78.27291805787887,3.778541850289585,5KIT,6TA,0,4.626488154614549,7,28
6TD_5YA5_A_1401,0,True,5.0,59.13313876049078,57.13343898412227,1.9996997763685087,54.638130786802336,52.891429676293455,1.74670111050888,5YA5,6TD,0,2.052307925734403,4,26
6TF_5KJ2_A_1701,0,True,7.0,-24.435713299356934,-25.795479974816004,1.3597666754590705,-38.80043426503152,-39.11718299445459,0.3167487294230682,5KJ2,6TF,0,3.514258437724136,10,38
6TG_4B1D_A_1505,0,True,8.0,68.459417437715,67.02174662945481,1.4376708082601937,66.3497282347277,58.53806328196097,7.8116649527667334,4B1D,6TG,0,1.454806439126527,4,29
6TJ_5LCF_A_504,-1,True,2.0,64.11274432201847,63.13619299448463,0.9765513275338407,60.61167279075237,59.29947533428107,1.3121974564713028,5LCF,6TJ,-1,2.225786153099597,2,19
6TN_5GGZ_C_301,0,True,10.0,-0.2896516958418758,-9.215079973386011,8.925428277544135,-2.002775846401395,-19.49033810636589,17.487562259964495,5GGZ,6TN,0,6.445020119490785,5,26
6TU_5LCH_A_503,-1,True,6.0,99.62967700367258,92.85707273641208,6.772604267260505,97.81268000960631,85.97316699073885,11.839513018867464,5LCH,6TU,-1,5.246558345450732,5,24
6TV_5LCQ_A_401,1,True,4.0,9.681513575617116,-0.45815324104620814,10.139666816663324,-15.608182825349093,-9.497179425991567,-6.111003399357527,5LCQ,6TV,1,7.063925254451558,7,20
6TX_5LCR_A_401,1,True,8.0,28.068466206313513,8.74489026450639,19.32357594180712,24.987889407576123,-3.140357544569916,28.12824695214604,5LCR,6TX,1,6.150568841469912,6,20
6TY_5LCT_A_401,1,True,3.0,86.47910010448484,77.9683834106156,8.510716693869242,74.9352501632988,69.08949556560299,5.845754597695816,5LCT,6TY,1,6.21427850822012,2,20
6TZ_5ALV_A_1551,0,True,1.0,21.48635814646416,21.488391736480413,-0.0020335900162535836,20.461317072797485,20.460695674558924,0.0006213982385609995,5ALV,6TZ,0,0.0035073884611260004,1,12
06T_3RKZ_A_1,1,True,10.0,151.44899572045267,145.85000437073896,5.598991349713714,136.66178895633234,131.49055287250792,5.171236083824425,3RKZ,06T,1,3.568656869271806,3,36
6UD_5KKY_A_900,0,True,8.0,170.49760286129393,121.81290764187473,48.6846952194192,137.15818359751643,98.43083819343869,38.72734540407774,5KKY,6UD,0,12.481665102034315,8,22
6UE_5KMI_A_901,0,True,2.0,23.717987631388485,19.57517408579264,4.142813545595846,12.482818187873903,8.746095099927011,3.736723087946892,5KMI,6UE,0,5.298218509123148,5,30
6UG_5KMK_A_901,0,True,3.0,123.14566788895493,121.04349557574713,2.1021723132078023,110.96473594450256,103.98445212280303,6.98028382169953,5KMK,6UG,0,1.177102213719651,5,28
6UH_5KML_A_901,0,True,3.0,23.61803504710196,15.462458010801498,8.15557703630046,8.493049125575801,1.8066926795085223,6.686356446067279,5KML,6UH,0,4.5269223585299425,7,27
6UK_5KMN_A_901,0,True,3.0,22.14145238531284,17.23243565338614,4.909016731926698,12.39809471823584,8.255326052652123,4.142768665583716,5KMN,6UK,0,4.5569809267861725,7,28
6UN_5KLL_B_601,-1,True,4.0,119.40879976314,125.10492601159257,-5.696126248452572,118.39207656734142,121.6391567224509,-3.2470801551094866,5KLL,6UN,-1,2.388515940050784,4,10
6UP_4FUD_A_301,1,True,1.0,16.85047571662152,15.663907451047034,1.1865682655744862,13.099961064103582,11.58081429125317,1.5191467728504122,4FUD,6UP,1,0.19548910271896403,1,14
6UR_5KLY_A_201,-1,True,8.0,-66.98178589427812,-79.57288436139162,12.591098467113497,-86.06767040446053,-97.49966850720912,11.431998102748594,5KLY,6UR,-1,10.47723865867871,8,34
6US_5KM6_A_201,-1,True,8.0,-58.49875034407579,-72.07772512326183,13.57897477918604,-61.38262241228789,-86.46012827546663,25.077505863178743,5KM6,6US,-1,11.07665931267497,8,34
6UT_5KMB_A_201,-1,True,9.0,-119.78349937346731,-155.15623422860463,35.372734855137324,-122.51732879744856,-175.74670854173624,53.229379744287684,5KMB,6UT,-1,14.835600275313663,10,39
6VK_5KPK_A_500,0,True,6.0,51.64722327681429,51.23484598214616,0.41237729466812567,35.35595374355831,35.3930135492793,-0.03705980572099321,5KPK,6VK,0,1.180843418166734,2,26
6VP_6DKV_A_303,-1,True,1.0,51.81140339469207,51.78181287654603,0.029590518146044076,46.57620396960638,46.475477579439826,0.10072639016655671,6DKV,6VP,-1,0.072440637193384,1,12
6VU_5KOT_A_402,1,True,15.0,112.91551646470735,93.88993396142516,19.025582503282195,108.85460317012021,80.7929912732404,28.06161189687981,5KOT,6VU,1,9.941198721841848,12,36
6VX_5KQG_A_200,-1,True,3.0,67.90656363958074,55.898120544907655,12.008443094673083,57.652523954172665,44.77776476070882,12.874759193463845,5KQG,6VX,-1,5.005372063821309,5,23
6VY_5KQL_A_200,-1,True,3.0,92.55129065514704,77.84508557106813,14.706205084078917,84.32218068342564,69.40159447941318,14.920586204012466,5KQL,6VY,-1,4.6692546239368635,5,20
6VZ_5LGO_A_303,2,True,11.0,111.03976536897812,123.04368837578392,-12.003923006805792,107.06039931940012,77.96572126434451,29.09467805505561,5LGO,6VZ,2,5.174013083913808,11,37
6WD_5KQF_A_501,1,True,3.0,-73.19341953682732,-73.33277684453313,0.1393573077058079,-79.43247776401807,-79.70842869597186,0.27595093195378695,5KQF,6WD,1,0.102643363218473,2,22
6WE_5KR8_A_502,1,True,5.0,-70.63487468509227,-71.66992055668172,1.0350458715894462,-73.9263124098581,-79.84252694144926,5.916214531591166,5KR8,6WE,1,0.6745142183933991,2,23
6WH_5LH8_A_304,1,True,10.0,70.92059804705085,73.25559088901292,-2.3349928419620767,61.03845187049018,54.324475217900456,6.7139766525897215,5LH8,6WH,1,6.583692881873703,10,40
6WU_5KRM_A_601,0,True,4.0,61.1067148443077,62.818044889518646,-1.7113300452109428,56.63465766072138,58.73494558167435,-2.1002879209529723,5KRM,6WU,0,1.618944453489176,1,20
6WV_5U2B_C_601,0,True,2.0,74.23690118766095,72.6013439820476,1.6355572056133525,68.00331614043904,68.037988657077,-0.03467251663795423,5U2B,6WV,0,1.115768542228508,2,26
6XB_5KTU_A_1201,0,True,2.0,-2.3108579145896577,-6.315956018221005,4.005098103631347,-9.702284217442138,-12.186730957684833,2.4844467402426957,5KTU,6XB,0,2.5203613919273753,3,19
6XC_5A5Q_A_2111,1,True,1.0,-19.56019510419575,-20.615161648256596,1.0549665440608464,-27.013281850034534,-27.015019826179895,0.0017379761453604203,5A5Q,6XC,1,0.28723337970080703,2,19
6XE_3ZBX_A_2345,0,True,3.0,156.59610776749057,155.61000063456456,0.9861071329260085,152.180259478134,147.71065685429738,4.469602623836607,3ZBX,6XE,0,1.570973931907228,3,27
6XG_5KTW_C_1201,0,True,7.0,27.194876250960803,24.786164152105634,2.408712098855169,18.769499229987204,14.484354186982138,4.285145043005066,5KTW,6XG,0,3.104571480596641,8,29
6XH_5KTX_A_1201,0,True,5.0,27.637222867767836,26.573840552702737,1.0633823150650983,14.679729737379319,15.892078355694977,-1.2123486183156587,5KTX,6XH,0,3.549874941387331,5,31
6XI_5KRS_A_302,-1,True,2.0,54.03736095453799,48.82321242025907,5.2141485342789196,48.15915002011272,36.83245580908934,11.32669421102338,5KRS,6XI,-1,1.079012118066232,2,13
6XT_5KWH_B_417,0,True,2.0,70.20247810097885,66.71841450983246,3.484063591146395,55.32063845404197,50.040012379868855,5.280626074173114,5KWH,6XT,0,3.48359071408556,6,25
6XU_5GMZ_B_202,-1,True,9.0,151.8597311257979,146.10886431057563,5.750866815222281,139.1052689839099,130.6515371841444,8.453731799765507,5GMZ,6XU,-1,2.62532036190958,7,34
6XV_5LIT_B_102,2,True,1.0,-151.5052579983945,-147.29707375492796,-4.2081842434665475,-166.04174422701715,-167.3575401940572,1.31579596704006,5LIT,6XV,2,3.268569352041991,7,27
6XX_5LJ1_A_202,1,True,8.0,141.7907461121742,150.07259702690084,-8.281850914726647,127.98228862131587,132.25224648520515,-4.269957863889275,5LJ1,6XX,1,5.386622394223761,7,38
6Y6_5KV8_B_606,-1,True,14.0,148.16350469006335,148.85358669245852,-0.6900820023951724,146.56317857968645,119.23164042585292,27.331538153833534,5KV8,6Y6,-1,5.385592687742057,10,29
6ZA_5L0N_A_406,-1,True,2.0,-83.75313409962241,-89.72075034263791,5.967616243015499,-93.56087978265401,-99.98709708015564,6.426217297501623,5L0N,6ZA,-1,1.502590682311367,1,23
6ZF_5LMB_A_701,1,True,5.0,71.52659280622602,62.46334323421399,9.063249572012033,54.88858340439092,44.5525263842524,10.336057020138519,5LMB,6ZF,1,4.400675424748874,5,27
6ZG_5LMA_A_701,1,True,6.0,96.94678927223897,80.44822265436447,16.498566617874502,84.46975997218452,65.0493336465741,19.42042632561042,5LMA,6ZG,1,4.533284818168397,6,23
6ZH_5K8X_D_501,1,True,5.0,-105.9798183397445,-121.10039495621993,15.120576616475432,-108.69463465020073,-132.06815999659827,23.373525346397543,5K8X,6ZH,1,5.111644131034427,5,24
6ZM_5L0B_A_911,0,True,2.0,-49.9076921866351,-51.023523274420334,1.1158310877852315,-56.2139174644354,-59.26627034010457,3.052352875669172,5L0B,6ZM,0,0.8127055380232301,3,23
6ZY_5L2M_A_602,0,True,7.0,29.155924927521795,31.078666333936567,-1.9227414064147723,19.991528898250728,19.339110039577168,0.6524188586735598,5L2M,6ZY,0,3.143403840978819,4,27
06Z_3RJC_A_450,0,True,2.0,11.131946850584242,10.86649385877977,0.265452991804473,2.248663402719867,1.5689526724235954,0.6797107302962715,3RJC,06Z,0,2.126955778829662,4,22
7A3_5TDF_A_901,-3,True,7.0,316.08468826918266,308.76870001284175,7.3159882563409155,309.8884036173926,297.0388951518973,12.849508465495319,5TDF,7A3,-3,9.277486655111334,5,14
7A6_5TC6_A_301,1,True,8.0,33.86453303059789,14.654772784645356,19.209760245952534,32.14947622846403,6.046298685262265,26.103177543201767,5TC6,7A6,1,9.961782465139558,5,22
7A9_5LXB_E_302,1,True,1.0,92.30160823506634,88.06375270870848,4.237855526357862,85.54947924400818,80.10876039257374,5.44071885143444,5LXB,7A9,1,0.179778936206788,1,22
7AH_4CGN_A_1000,1,True,3.0,44.36918337242709,30.877815572539802,13.491367799887286,33.33452547562681,22.8508054425257,10.483720033101111,4CGN,7AH,1,2.717110867968822,5,26
7AN_5GI9_A_302,0,True,3.0,5.212675986647946,5.063834504360901,0.14884148228704497,3.300098914718803,1.8873263597139514,1.4127725550048518,5GI9,7AN,0,2.895244189944476,4,15
7B7_4J5E_X_301,0,True,6.0,-47.65943500754172,-37.322797447764046,-10.336637559777671,-56.463393523881194,-45.12601676995259,-11.337376753928602,4J5E,7B7,0,1.8808353313836799,9,28
