key,natoms,nheavy,charge,mmff_s,xtb_s,xtb_ok,aimnet_cpu_s_r1,aimnet_cpu_s_r2,aimnet_cpu_s_r3,aimnet_cpu_s_median
WHF_2YHU_A_302,24,15,0,0.0064595879998705,0.3684080410002934,True,0.8244545009999911,0.823290017999966,0.8119169729999953,0.823290017999966
8YH_5NIO_A_301,36,14,0,0.0075705689996539,0.5010195419999945,True,1.7316590070000188,0.6983503929999983,0.7141433940000184,0.7141433940000184
1GP_3K42_A_7000,17,10,-2,0.0010592790004011,0.1231381540001166,True,0.9698392660000081,0.9844417040000053,0.9597206930000084,0.9698392660000081
4P0_4ZJS_E_301,28,12,1,0.0044828579993918,0.1792593279997163,True,1.0711406290000127,1.1303602290000185,1.1181874819999962,1.1181874819999962
8MZ_5N4U_A_401,24,16,0,0.0035753960000874,0.2286142709999694,True,0.7443730210000012,0.7444860670000253,0.7206795010000064,0.7443730210000012
H7J_2H7J_B_300,55,27,0,0.0312529299999368,2.5468060380007955,True,1.6467162889999827,1.6985105499999804,1.7109465510000064,1.6985105499999804
8GU_5VUB_B_402,52,29,1,0.0242391190004127,1.5561461740007871,True,1.3179338930000313,1.2594461969999884,1.2740873069999452,1.2740873069999452
ADP_5XZA_A_401,39,27,-3,0.0112204000006386,2.8624119960004464,True,7.886278784000012,7.71884933299998,7.78323022699999,7.78323022699999
ADP_2FFA_A_708,39,27,-3,0.0107782939994649,2.763664613000401,True,8.656775470000014,9.012177147000045,9.031925580000006,9.012177147000045
2VZ_4PP3_A_500,46,23,-1,0.0280689739993249,1.6876703149991954,True,1.5857693130000143,1.5683699390000356,1.6080982049999761,1.5857693130000143
ATP_3VNQ_A_601,43,31,-4,0.01364336000006,3.5571451189998697,True,3.743898198000011,3.6530587869999636,3.7236833719999822,3.7236833719999822
DX9_1MTW_A_999,62,33,1,0.0658699329997034,3.540983625000081,True,5.449140029000034,5.4206855379999865,5.371500591999961,5.4206855379999865
0UX_4FPS_A_402,64,31,2,0.0505475130003105,1.2950216239996737,True,2.4084293669999965,2.368678751999994,2.3412708820000034,2.368678751999994
T08_3W0J_A_501,69,31,0,0.035926690999986,1.7709414110004218,True,2.0022618540000394,2.0085318679999773,1.8877915179999718,2.0022618540000394
ATP_2R86_A_400,43,31,-4,0.0142680250000921,3.599058734999744,True,3.6940112220000287,3.6177174139999693,3.7564758940000047,3.6940112220000287
9NU_5G0W_B_1271,83,43,0,0.0821694059995934,11.975170033999348,True,5.676033084000039,5.665261094000016,5.83376267899996,5.676033084000039
NMB_1AJV_A_501,75,41,0,0.0623050020003574,5.7806629180004165,True,3.3794578279999996,3.335022545999948,3.3656924249999634,3.3656924249999634
838_5TA4_A_201,84,40,0,0.0851368839994393,8.349763846000315,True,4.970618924999997,4.7620310949999975,4.696088069999973,4.7620310949999975
1R6_4KE1_A_404,83,41,1,0.0715256550001868,5.8946675069992125,True,4.387106944000038,4.303106803000105,4.47912691199997,4.387106944000038
XY3_3OY3_A_1,73,41,1,0.076724534999812,6.404619582000123,True,17.170320918000016,16.966375713000048,17.664982131999977,17.170320918000016
